DarkImp 600 1 1 1 1 .25 1 1 1
Salamander 450 0 1 .25 1 1 1 1 .5
LowerDemon 900 1 1 1 .5 .25 1 1 1 
DemonSmoke 250 .25 .25 .25 0 0 1 1 .25
FireGiant 2800 .75 1.5 .5 1 1 1 1 1
DeathStare 1600 1 1 1 0 0 1 1 .5
FireDragon 4500 0 1.5 1 1 1 1 1 1
ThunderDragon 5000 1 1 0 1 1 1 1 1
FireElemental 850 0 1.5 .5 .5 .5 .5 1 1
EvilSpirit 500 .25 .25 .25 0 0 1 1 .5
FracturedSoul 1250 1 1 1 1 1 1 1 1 
DarkKnight 1400 1 1 1 1 .25 1 1 1
DeathVeggie 2600 2 2 2 2 1 1 1 1 
GoldenStriker 1000 .5 .5 .5 .5 .5 1 1 1 
Titan 9000 1 1 1 1 1 1 1 1 
MiddleDemon 2500 1 1 1 .25 .25 1 1 1 
DiamondGuard 600 .3 .3 .3 1 .25 .3 .3 .25
DarkMist 600 0 .25 .25 0 0 1 1 .25
Infernal 1700 0 1.5 .25 0 .25 1.5 1 .75
SoulFiend 1600 1 1 1 0 0 1 1 1
Firegoyle 1600 0 2 .5 1 .25 1 1 1 
GreatDemon 2450 .6 .6 1 0 0 1 1 1
DemonWarrior 2550 1 1 1 1 .25 1 1 .85
PitFiend 2650 .7 1 1 1 0 1 .6 1
TrigonaSentry 2200 1 1 2 .5 0 .5 1 1 
MoltenTriton 2400 1 2 .25 .5 1 1 1 1
MudConch 2150 2 1 1 .25 .5 .5 1 .75
Amonite 2300 .75 .75 1 .25 1 .75 1 1
GoldenTrigona 2500 1 .5 2 .5 0 0 1 1 
GoldenTriton 2500 1 1 2 .5 1 1 1 1 
SilverDragon 6000 2 0 .5 .5 .5 .5 1 .8
GoldDragon 7200 .5 2 0 .25 1 .5 1 1 
DiamondGolem 5000 .75 .75 .75 .75 .75 .75 .75 .75
Beholder 6500 1 1 1 1 1 1 .6 .75
DarkDragon 9500 1 1 1 1 0 2 .65 1
AlbinoCentipede 8000 .25 .25 .5 .75 2.5 0 .7 1
ArmoredTroll 7200 0 .5 2 0 0 .5 .5 .75
FraimGoblin 2100 1 1 1 1 1 1 1 1
MoltenSentry 1400 .4 5 .4 0 .4 .4 1 1
Devil 1700 .8 .8 .8 .8 .8 .8 1 1
DarkElemental 1450 .25 .5 .5 1 0 1 .5 .75
FraimLizard 2500 1 1 1 1 1 1 1 1
BloodStorm 600 1 1 1 0 1 1 1 1
Colossus 6500 1 1 1 1 1 1 .7 .85
FraimTroll 6600 1 2 1 1 1 1 1 1
FraimBeast 9500 0 1 2 .75 1 1 1 .8
FraimDragon 9000 1 1 1 0 1 1 1 1
IgneousGolem 6500 .5 .5 .5 0 3 .5 .5 1
PitWyvern 7000 1 1 1 0 1 1 1 1 
